trip_id,start_station_id,start_station_name,start_date,end_station_id,end_station_name,end_date
1,2,Corner of Main and State in Montpelier,2025-06-15 16:39:40.163865,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 18:31:29.963865
2,2,Corner of Main and State in Montpelier,2025-06-15 16:50:19.020543,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 17:09:08.820543
3,2,Corner of Main and State in Montpelier,2025-06-15 18:57:31.999224,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 20:52:21.799224
4,2,Corner of Main and State in Montpelier,2025-06-15 14:15:05.906426,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 14:46:55.706426
5,2,Corner of Main and State in Montpelier,2025-06-15 10:58:59.540547,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 11:39:49.340547
6,2,Corner of Main and State in Montpelier,2025-06-15 17:24:53.871292,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 18:45:43.671292
7,2,Corner of Main and State in Montpelier,2025-06-15 09:12:23.874806,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 10:02:13.674806
8,2,Corner of Main and State in Montpelier,2025-06-15 08:50:31.312866,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 09:08:21.112866
9,2,Corner of Main and State in Montpelier,2025-06-15 17:49:17.446154,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 18:37:07.246154
10,2,Corner of Main and State in Montpelier,2025-06-15 10:32:44.480409,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 12:15:34.280409
11,2,Corner of Main and State in Montpelier,2025-06-15 09:54:29.856224,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 10:04:19.656224
12,2,Corner of Main and State in Montpelier,2025-06-15 11:51:29.833293,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 12:54:19.633293
13,2,Corner of Main and State in Montpelier,2025-06-15 12:29:22.440798,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 14:14:12.240798
14,2,Corner of Main and State in Montpelier,2025-06-15 17:59:55.532498,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 19:58:45.332498
15,2,Corner of Main and State in Montpelier,2025-06-15 09:01:34.684632,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 10:57:24.484632
16,2,Corner of Main and State in Montpelier,2025-06-15 16:57:13.826009,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 18:52:03.626009
17,2,Corner of Main and State in Montpelier,2025-06-15 13:10:05.489691,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 13:38:55.289691
18,2,Corner of Main and State in Montpelier,2025-06-15 12:04:49.424631,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 13:38:39.224631
19,2,Corner of Main and State in Montpelier,2025-06-15 13:36:42.749872,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 13:47:32.549872
20,2,Corner of Main and State in Montpelier,2025-06-15 11:35:12.489470,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 13:02:02.289470
21,2,Corner of Main and State in Montpelier,2025-06-15 14:07:41.040700,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 15:34:30.840700
22,2,Corner of Main and State in Montpelier,2025-06-15 09:27:56.371215,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 10:10:46.171215
23,2,Corner of Main and State in Montpelier,2025-06-15 15:41:33.308706,1,Kellogg-Hubbard Library in Montpelier,2025-06-15 16:21:23.108706
